Store,Product Name,Price
Al-Fateh,PEPSI BOTTLE 345 ML,Rs.65
Al-Fateh,PEPSI BOTTLE 500 ML,Rs.90
Al-Fateh,PEPSI TIN SLIM LOCAL 250ML,Rs.100
Al-Fateh,PEPSI BOTTLE 500 ML-CARTON,"Rs.1,080"
Al-Fateh,PEPSI CSD ZERO 345 ML,Rs.45
Al-Fateh,PEPSI BOTTLE 1.5 LTR,Rs.145
Al-Fateh,PEPSI JUMBO 2.25LTR,Rs.205
Al-Fateh,PEPSI BOTTLE 1.5 LTR-CARTON,Rs.870
Al-Fateh,PEPSI JUMBO 2.25 LTR-CARTON,"Rs.1,230"
Al-Fateh,PEPSI CAN SLIM LOCAL 250ML-CARTON,"Rs.1,200"
Al-Fateh,PEPSI BOTTLE 345 ML-CARTON,Rs.780
Al-Fateh,PEPSI ZERO SUGAR BOTTLE 1.5 LTR,Rs.130
Al-Fateh,PEPSI ZERO CAN 250 ML,Rs.100
Metro,Pepsi 500 ML x12,Rs. 960
Metro,Pepsi 2.25L x6,"Rs. 1,200"
Metro,Pepsi 1L x6,Rs. 720
Jalal Sons,Pepsi 500ML(500 Ml),Rs 88
Jalal Sons,Pepsi Bottle 345ML(345 Ml),Rs 64
Jalal Sons,Pepsi Diet Tin 250ML(250 Ml),Rs 99
Jalal Sons,Pepsi Imp Tin 150ML,Rs 298
Jalal Sons,Pepsi Tin 250ML(250 Ml),Rs 99
Jalal Sons,Pepsi 1.5L(1.5 L),Rs 154
Carrefour,Pepsi 1 lt (Pack of 6),"PKR
774
.00"
Carrefour,Pepsi 500 ml,"PKR
85
.00"
Carrefour,Pepsi 2.25 lt (Pack of 6),"PKR
1,320
.00"
Carrefour,Pepsi 1.5 lt,"PKR
160
.00"
Carrefour,Pepsi 500 ml (Pack of 12),"PKR
1,020
.00"
Carrefour,Pepsi Zero 1.5 ltr (Pack Of 6),"PKR
900
.00"
Carrefour,Pepsi Bottle 1 Ltr,"PKR
129
.00"
Carrefour,Pepsi Zero Sugar Carbonated Drink 345ml,"PKR
49
.00"
Carrefour,Pepsi 345 ml,"PKR
65
.00"
Carrefour,Pepsi 345 ml (Pack of 12),"PKR
780
.00"
Carrefour,Pepsi Can Pack of 250 ml (Pack of 12),"PKR
1,188
.00"
Carrefour,Pepsi Can 250 ml,"PKR
99
.00"
Carrefour,Pepsi Zero Sugar Carbonated Drink 250 ml,"PKR
99
.00"
Carrefour,Pepsi Zero 1.5 ltr,"PKR
150
.00"
Carrefour,Pepsi 2.25 lt,"PKR
220
.00"
Imtiaz,Pepsi Drink Can Local 250ml,Rs. 85.00
Imtiaz,Pepsi Drink NR 345ml,Rs. 59.00
Imtiaz,Pepsi Drink PET 1Ltr,Rs. 145.00
Imtiaz,Pepsi Drink NR 500ml,Rs. 92.00
Imtiaz,Pepsi Drink Jumbo 2250ml,Rs. 199.00
Imtiaz,Pepsi Drink 1500ml,Rs. 185.00
